id,name,type_1,type_2,hp,attack,defense,special_attack,special_defense,speed,generation
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1
4,Charmander,Fire,,39,52,43,60,50,65,1
5,Charmeleon,Fire,,58,64,58,80,65,80,1
6,Charizard,Fire,Flying,78,84,78,109,85,100,1
7,Squirtle,Water,,44,48,65,50,64,43,1
8,Wartortle,Water,,59,63,80,65,80,58,1
9,Blastoise,Water,,79,83,100,85,105,78,1
10,Pikachu,Electric,,35,55,40,50,50,90,1
11,Raichu,Electric,,60,90,55,90,80,110,1
12,Eevee,Normal,,55,55,50,45,65,55,1
13,Vaporeon,Water,,130,65,60,110,95,65,1
14,Jolteon,Electric,,65,65,60,110,95,130,1
15,Flareon,Fire,,65,130,60,95,110,65,1
16,Mewtwo,Psychic,,106,110,90,154,90,130,1
17,Mew,Psychic,,100,100,100,100,100,100,1
18,Chikorita,Grass,,45,49,65,49,65,45,2
19,Cyndaquil,Fire,,39,52,43,60,50,65,2
20,Totodile,Water,,50,65,64,44,48,43,2
21,Lucario,Fighting,Steel,70,110,70,115,70,90,4
22,Garchomp,Dragon,Ground,108,130,95,80,85,102,4
23,Greninja,Water,Dark,72,95,67,103,71,122,6
24,Sylveon,Fairy,,95,65,65,110,130,60,6
25,Decidueye,Grass,Ghost,78,107,75,100,100,70,7
